City,CountyName,Metro,RegionID,RegionName,RegionType,SizeRank,State,date,value,val2,val3,parse_date,Year,Month,day
Lawrenceville,Gwinnett County,Atlanta-Sandy Springs-Roswell,70828,30043,Zip,58,GA,2015-01-31,188455.0,232051,1287710,2015-01-31,2015,Jan,31
New York,Kings County,New York-Newark-Jersey City,62040,11230,Zip,59,NY,2015-01-31,374811.0,31862,5221801,2015-01-31,2015,Jan,31
New York,Kings County,New York-Newark-Jersey City,62023,11212,Zip,60,NY,2015-01-31,323665.0,117141,5910883,2015-01-31,2015,Jan,31
Houston,Harris County,Houston-The Woodlands-Sugar Land,91685,77036,Zip,61,TX,2015-01-31,100624.0,138938,1582705,2015-01-31,2015,Jan,31
New York,New York County,New York-Newark-Jersey City,61803,10463,Zip,62,NY,2015-01-31,222726.0,12311,2366995,2015-01-31,2015,Jan,31
Chicago,Cook County,Chicago-Naperville-Elgin,84630,60629,Zip,63,IL,2015-01-31,147600.0,127906,1607339,2015-01-31,2015,Jan,31
New York,Kings County,New York-Newark-Jersey City,62020,11209,Zip,64,NY,2015-01-31,384849.0,207948,3192182,2015-01-31,2015,Jan,31
Duluth,Gwinnett County,Atlanta-Sandy Springs-Roswell,70874,30096,Zip,65,GA,2015-01-31,177571.0,141199,2111133,2015-01-31,2015,Jan,31
New York,Kings County,New York-Newark-Jersey City,62032,11221,Zip,66,NY,2015-01-31,793603.0,235446,2191251,2015-01-31,2015,Jan,31
Hoboken,Hudson County,New York-Newark-Jersey City,60545,7030,Zip,67,NJ,2015-01-31,603369.0,106396,4098555,2015-01-31,2015,Jan,31
Redmond,King County,Seattle-Tacoma-Bellevue,99534,98052,Zip,68,WA,2015-01-31,554772.0,66803,4029256,2015-01-31,2015,Jan,31
Suwanee,Gwinnett County,Atlanta-Sandy Springs-Roswell,70810,30024,Zip,69,GA,2015-01-31,299660.0,237678,2535810,2015-01-31,2015,Jan,31
Chicago,Cook County,Chicago-Naperville-Elgin,84612,60610,Zip,70,IL,2015-01-31,411275.0,111895,879532,2015-01-31,2015,Jan,31
Austin,Travis County,Austin-Round Rock,92617,78704,Zip,71,TX,2015-01-31,502729.0,35084,3737225,2015-01-31,2015,Jan,31
Houston,Harris County,Houston-The Woodlands-Sugar Land,91726,77077,Zip,72,TX,2015-01-31,295187.0,161662,2577426,2015-01-31,2015,Jan,31
Phoenix,Maricopa County,Phoenix-Mesa-Scottsdale,94748,85032,Zip,73,AZ,2015-01-31,196850.0,154940,3752302,2015-01-31,2015,Jan,31
Spring,Harris County,Houston-The Woodlands-Sugar Land,91889,77379,Zip,74,TX,2015-01-31,233842.0,13536,5111908,2015-01-31,2015,Jan,31
Dallas,Dallas County,Dallas-Fort Worth-Arlington,90823,75287,Zip,75,TX,2015-01-31,260652.0,187432,812787,2015-01-31,2015,Jan,31
New York,New York County,New York-Newark-Jersey City,61638,10024,Zip,76,NY,2015-01-31,1169355.0,59636,5513889,2015-01-31,2015,Jan,31
San Marcos,Hays County,Austin-Round Rock,92598,78666,Zip,77,TX,2015-01-31,179506.0,170834,3898726,2015-01-31,2015,Jan,31
Parkville,Baltimore County,Baltimore-Columbia-Towson,66843,21234,Zip,78,MD,2015-01-31,197752.0,110256,2209320,2015-01-31,2015,Jan,31
Sunny Isles Beach,Miami-Dade County,Miami-Fort Lauderdale-West Palm Beach,72463,33160,Zip,79,FL,2015-01-31,387536.0,183378,145002,2015-01-31,2015,Jan,31
Virginia Beach,Virginia Beach City,Virginia Beach-Norfolk-Newport News,67732,23464,Zip,80,VA,2015-01-31,245309.0,101155,1294930,2015-01-31,2015,Jan,31
Winter Garden,Orange County,Orlando-Kissimmee-Sanford,73221,34787,Zip,81,FL,2015-01-31,266982.0,211209,5433806,2015-01-31,2015,Jan,31
Brownsville,Cameron County,Brownsville-Harlingen,92481,78521,Zip,82,TX,2015-01-31,82203.0,180589,3690387,2015-01-31,2015,Jan,31
Lakewood Township,Ocean County,New York-Newark-Jersey City,61148,8701,Zip,83,NJ,2015-01-31,295450.0,98061,4198553,2015-01-31,2015,Jan,31
Dallas,Dallas County,Dallas-Fort Worth-Arlington,90795,75243,Zip,84,TX,2015-01-31,133266.0,177112,2898795,2015-01-31,2015,Jan,31
New York,Kings County,New York-Newark-Jersey City,62025,11214,Zip,85,NY,2015-01-31,364195.0,222503,1303182,2015-01-31,2015,Jan,31
Concord,Cabarrus County,Charlotte-Concord-Gastonia,69672,28027,Zip,86,NC,2015-01-31,185386.0,23756,1910990,2015-01-31,2015,Jan,31
New York,Kings County,New York-Newark-Jersey City,62018,11207,Zip,87,NY,2015-01-31,347019.0,78736,5286535,2015-01-31,2015,Jan,31
Alameda,Alameda County,San Francisco-Oakland-Hayward,97711,94501,Zip,88,CA,2015-01-31,746025.0,112829,2794174,2015-01-31,2015,Jan,31
Quincy,Norfolk County,Boston-Cambridge-Newton,58669,2169,Zip,89,MA,2015-01-31,347306.0,33436,565770,2015-01-31,2015,Jan,31
Royal Palm Beach,Palm Beach County,Miami-Fort Lauderdale-West Palm Beach,72578,33411,Zip,90,FL,2015-01-31,231990.0,15061,2155277,2015-01-31,2015,Jan,31
New York,Kings County,New York-Newark-Jersey City,62039,11229,Zip,91,NY,2015-01-31,405457.0,131447,232957,2015-01-31,2015,Jan,31
Chicago,Cook County,Chicago-Naperville-Elgin,84621,60619,Zip,92,IL,2015-01-31,116481.0,134302,1548530,2015-01-31,2015,Jan,31
Austin,Travis County,Austin-Round Rock,92654,78745,Zip,93,TX,2015-01-31,255078.0,134477,503825,2015-01-31,2015,Jan,31
San Francisco,San Francisco County,San Francisco-Oakland-Hayward,97565,94110,Zip,94,CA,2015-01-31,1292123.0,207698,2944132,2015-01-31,2015,Jan,31
Virginia Beach,Virginia Beach City,Virginia Beach-Norfolk-Newport News,67730,23462,Zip,95,VA,2015-01-31,193300.0,152985,5174377,2015-01-31,2015,Jan,31
Miramar,Broward County,Miami-Fort Lauderdale-West Palm Beach,72363,33025,Zip,96,FL,2015-01-31,186874.0,103418,3775096,2015-01-31,2015,Jan,31
New York,Bronx County,New York-Newark-Jersey City,61798,10458,Zip,97,NY,2015-01-31,135170.0,110798,2362716,2015-01-31,2015,Jan,31
Lewisville,Denton County,Dallas-Fort Worth-Arlington,90665,75067,Zip,98,TX,2015-01-31,185589.0,78786,1542357,2015-01-31,2015,Jan,31
Los Angeles,Los Angeles County,Los Angeles-Long Beach-Anaheim,96015,90034,Zip,99,CA,2015-01-31,900136.0,145077,361050,2015-01-31,2015,Jan,31
Parker,Douglas County,Denver-Aurora-Lakewood,93263,80134,Zip,100,CO,2015-01-31,400955.0,97301,3144800,2015-01-31,2015,Jan,31
